id,name
2LRoIwlKmHjgvigdNGBHNo,Feid
2IKdK6PbitvCiXt1t2bPU6,Mesita
4q3ewBCX7sLwd24euuV69X,Bad Bunny
1r4hJ1h58CWwUQe3MxPuau,Maluma
12GqGscKJx3aE4t07u7eVZ,Peso Pluma
7iK8PXO48WeuP03g8YR51W,Myke Towers
790FomKkXshlbRYZFtlgla,KAROL G
6XkjpgcEsYab502Vr1bBeW,Grupo Frontera
4SsVbpTthjScTS7U2hmr1X,Arcángel
52iwsT98xCoGgiGntTiR7K,Quevedo
2OhUNb01gLwygOizYvTm0e,Big One
6dLuQ5qXxIuWc5urxfIiZR,Calle 24
4kcQWQDK0u9AftVSpdrAgk,Luck Ra
2jSGzJw0ebJLu7OLVSOcBP,Plan B
0tmwSHipWxN12fsoLcFU3B,Manuel Turizo
5Y3MV9DZ0d87NnVm56qSY1,Tiago PZK
5HeN1Iza4nZe03sFlonddz,Eugenio Esquivel
1i8SpTcr7yvPOmcqrbnVXY,Ozuna
51ZSh80McCt7vbqHouzW0A,Yahritza Y Su Esencia
0Q8NcsJwoCbZOHHW63su5S,Mora
5JMJt80HJWR1e4hMw63Z5t,Luis Vega
1TtXnWcUs0FCkaZDPGYHdf,Darell
0OTHm6AFLxgeTm0gHNOuWi,De Parranda
0GM7qgcRCORpGnfcN2tCiB,Tainy
0KPX4Ucy9dk82uj4GpKesn,Dalex
1pgDilWYDWLoOgGjf1iHNu,Zion
33ScadVnbm2X8kkUqOkC6Z,Don Omar
1SupJlEpv7RS2tPNRaHViT,Nicky Jam
6XFITTl7cFTdopDY3lUdlY,J Alvarez
2TjgzYcbTdsZjbT9OItIeB,"Héctor ""El Father"""
3IEvQoAohcGX7CdrbtIle7,Baby Rasta & Gringo
3EiLUeyEcA6fbRPSHkG5kb,De La Ghetto
4VMYDCV2IEDYJArk749S6m,Daddy Yankee
3SUT1jjM5hzZj9TLfLZGIP,Tego Calderón
64aJYyrXljOodnUG6jvhRD,DJ Luian
3LKXWvXFWrkwUzJWxzwVpW,Tony Dize
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin
5fJsY7afrbsyzJj9wdzJMh,"Tito ""El Bambino"""
1wZtkThiXbVNtj6hee6dz9,Wisin & Yandel
2ydZrTy8U3kOMOzx20s3dg,DJ Nelson
329e4yvIujISKGKz1BZZbO,Farruko
5hdhHgpxyniooUiQVaPxQ0,Nio Garcia
1ykothWH0xl8drRyJWuw7I,Ñejo & Dalmata
7npqy7rgdX2D3yfVyWExKo,Angel Y Khriz
7tU1VKOuxiNZwBZC6RHidA,Alexis y Fido
3ptY5WTxu77JpAQQnHyxEl,Yandar & Yostin
0eHQ9o50hj6ZDNBt6Ys1sD,Yandel
0niAkxgT6y57bRbT0Ge94z,LiL CaKe
2R21vXR83lH98kGeO99Y66,Anuel AA
1GKIlPFdcewHtpDVCQ8zmJ,Brray
1vqR17Iv8VFdzure1TAXEq,LIT killah
12vb80Km0Ew53ABfJOepVz,Ñengo Flow
51XrH5fQP2oIQynuKxSWcW,Sky Rompiendo
1mcTU81TzQhprhouKaTkpq,Rauw Alejandro
716NhGYqD1jl2wI1Qkgq36,Bizarrap
5XJDexmWFLWOkjOEjOVX3e,Eladio Carrion
